"-19°57'54.000\"","-43°50'29.000\""
"-09°52'46.158\"","-39°51'54.612\""
"-20°06'19.708\"","-43°24'15.056\""
"-03°16'30.000\"","-47°44'10.800\""
"-11°39'00.010\"","-47°40'30.010\""
"-19°58'32.614\"","-43°36'02.511\""
"-20°22'37.870\"","-43°54'45.680\""
"-09°51'11.005\"","-39°51'53.799\""
"-19°52'33.440\"","-44°06'01.770\""
"-19°24'35.100\"","-47°57'20.460\""
"-10°32'44.200\"","-40°25'30.700\""
"-10°18'53.700\"","-39°45'57.000\""
"-20°08'10.800\"","-44°24'18.900\""
"-09°52'29.492\"","-39°52'17.263\""
"-06°22'05.490\"","-56°16'06.210\""
"-14°14'45.180\"","-49°22'50.650\""
"-19°57'36.000\"","-43°52'58.000\""
"-15°56'15.593\"","-56°17'30.494\""
"-20°08'45.300\"","-44°24'19.700\""
"-20°11'06.300\"","-43°36'20.700\""
"-20°12'26.903\"","-43°27'15.839\""
"-06°23'57.800\"","-50°20'24.500\""
"-21°11'27.800\"","-43°59'28.500\""
"-20°25'24.810\"","-43°45'11.170\""
"-20°27'23.200\"","-43°44'59.900\""
"-09°52'28.070\"","-39°52'20.060\""
"-20°08'51.300\"","-44°24'22.200\""
"-10°41'12.400\"","-54°49'45.500\""
"-22°11'31.500\"","-47°33'05.500\""
"-09°52'37.962\"","-39°51'52.340\""
"-30°23'10.327\"","-53°02'37.439\""
"-23°23'32.300\"","-46°08'10.900\""
"-19°36'45.017\"","-43°16'00.408\""
"-15°50'05.240\"","-56°11'12.360\""
"-20°07'09.860\"","-44°19'26.960\""
"-20°08'15.300\"","-44°23'46.200\""
"-19°41'07.300\"","-43°17'10.400\""
"-09°51'10.170\"","-39°51'44.268\""
"-21°57'24.480\"","-47°37'18.695\""
"-20°03'29.700\"","-43°57'50.700\""
"-18°59'12.152\"","-46°47'58.919\""
"-01°41'38.000\"","-56°28'34.000\""
"-16°17'41.470\"","-56°39'05.520\""
"-28°24'34.600\"","-49°25'39.900\""
"-16°07'11.800\"","-56°35'15.800\""
"-16°15'28.700\"","-56°35'39.700\""
"-16°03'00.910\"","-56°32'53.790\""
"00°24'28.480\"","-51°43'48.020\""
"-15°39'33.400\"","-56°17'06.300\""
"-06°06'36.700\"","-52°16'31.000\""
